chart,hero_position,scenario,vs,villain_type,hand,aggressive_action,aggressive_pct,call_action,call_pct,other_action,other_pct,fold_pct,source_video,video_date,timestamp,notes,situational
RFI - EP - 200BB,EP,open,,,AA,raise,100,,0,,0,0,Live Poker Preflop Guide (2026),2026-01-06,before 6:29,,no
RFI - EP - 200BB,EP,open,,,AKs,raise,100,,0,,0,0,Live Poker Preflop Guide (2026),2026-01-06,before 6:29,,no
RFI - EP - 200BB,EP,open,,,AQs,raise,100,,0,,0,0,Live Poker Preflop Guide (2026),2026-01-06,before 6:29,,no
RFI - EP - 200BB,EP,open,,,AJs,raise,100,,0,,0,0,Live Poker Preflop Guide (2026),2026-01-06,before 6:29,,no
RFI - EP - 200BB,EP,open,,,ATs,raise,100,,0,,0,0,Live Poker Preflop Guide (2026),2026-01-06,before 6:29,,no
RFI - EP - 200BB,EP,open,,,A9s,raise,100,,0,,0,0,Live Poker Preflop Guide (2026),2026-01-06,before 6:29,,no
RFI - EP - 200BB,EP,open,,,A8s,raise,0,,0,,0,100,Live Poker Preflop Guide (2026),2026-01-06,before 6:29,,no
RFI - EP - 200BB,EP,open,,,A7s,raise,0,,0,,0,100,Live Poker Preflop Guide (2026),2026-01-06,before 6:29,,no
RFI - EP - 200BB,EP,open,,,A6s,raise,0,,0,,0,100,Live Poker Preflop Guide (2026),2026-01-06,before 6:29,,no
RFI - EP - 200BB,EP,open,,,A5s,raise,100,,0,,0,0,Live Poker Preflop Guide (2026),2026-01-06,before 6:29,,no
RFI - EP - 200BB,EP,open,,,A4s,raise,100,,0,,0,0,Live Poker Preflop Guide (2026),2026-01-06,before 6:29,,no
RFI - EP - 200BB,EP,open,,,A3s,raise,100,,0,,0,0,Live Poker Preflop Guide (2026),2026-01-06,before 6:29,,no
RFI - EP - 200BB,EP,open,,,A2s,raise,0,,0,,0,100,Live Poker Preflop Guide (2026),2026-01-06,before 6:29,,no
RFI - EP - 200BB,EP,open,,,AKo,raise,100,,0,,0,0,Live Poker Preflop Guide (2026),2026-01-06,before 6:29,,no
RFI - EP - 200BB,EP,open,,,KK,raise,100,,0,,0,0,Live Poker Preflop Guide (2026),2026-01-06,before 6:29,,no
RFI - EP - 200BB,EP,open,,,KQs,raise,100,,0,,0,0,Live Poker Preflop Guide (2026),2026-01-06,before 6:29,,no
RFI - EP - 200BB,EP,open,,,KJs,raise,100,,0,,0,0,Live Poker Preflop Guide (2026),2026-01-06,before 6:29,,no
RFI - EP - 200BB,EP,open,,,KTs,raise,100,,0,,0,0,Live Poker Preflop Guide (2026),2026-01-06,before 6:29,,no
RFI - EP - 200BB,EP,open,,,K9s,raise,100,,0,,0,0,Live Poker Preflop Guide (2026),2026-01-06,before 6:29,,no
RFI - EP - 200BB,EP,open,,,K8s,raise,0,,0,,0,100,Live Poker Preflop Guide (2026),2026-01-06,before 6:29,,no
RFI - EP - 200BB,EP,open,,,K7s,raise,0,,0,,0,100,Live Poker Preflop Guide (2026),2026-01-06,before 6:29,,no
RFI - EP - 200BB,EP,open,,,K6s,raise,0,,0,,0,100,Live Poker Preflop Guide (2026),2026-01-06,before 6:29,,no
RFI - EP - 200BB,EP,open,,,K5s,raise,0,,0,,0,100,Live Poker Preflop Guide (2026),2026-01-06,before 6:29,,no
RFI - EP - 200BB,EP,open,,,K4s,raise,0,,0,,0,100,Live Poker Preflop Guide (2026),2026-01-06,before 6:29,,no
RFI - EP - 200BB,EP,open,,,K3s,raise,0,,0,,0,100,Live Poker Preflop Guide (2026),2026-01-06,before 6:29,,no
RFI - EP - 200BB,EP,open,,,K2s,raise,0,,0,,0,100,Live Poker Preflop Guide (2026),2026-01-06,before 6:29,,no
RFI - EP - 200BB,EP,open,,,AQo,raise,100,,0,,0,0,Live Poker Preflop Guide (2026),2026-01-06,before 6:29,,no
RFI - EP - 200BB,EP,open,,,KQo,raise,0,,0,,0,100,Live Poker Preflop Guide (2026),2026-01-06,before 6:29,,no
RFI - EP - 200BB,EP,open,,,QQ,raise,100,,0,,0,0,Live Poker Preflop Guide (2026),2026-01-06,before 6:29,,no
RFI - EP - 200BB,EP,open,,,QJs,raise,100,,0,,0,0,Live Poker Preflop Guide (2026),2026-01-06,before 6:29,,no
RFI - EP - 200BB,EP,open,,,QTs,raise,100,,0,,0,0,Live Poker Preflop Guide (2026),2026-01-06,before 6:29,,no
RFI - EP - 200BB,EP,open,,,Q9s,raise,100,,0,,0,0,Live Poker Preflop Guide (2026),2026-01-06,before 6:29,,no
RFI - EP - 200BB,EP,open,,,Q8s,raise,0,,0,,0,100,Live Poker Preflop Guide (2026),2026-01-06,before 6:29,,no
RFI - EP - 200BB,EP,open,,,Q7s,raise,0,,0,,0,100,Live Poker Preflop Guide (2026),2026-01-06,before 6:29,,no
RFI - EP - 200BB,EP,open,,,Q6s,raise,0,,0,,0,100,Live Poker Preflop Guide (2026),2026-01-06,before 6:29,,no
RFI - EP - 200BB,EP,open,,,Q5s,raise,0,,0,,0,100,Live Poker Preflop Guide (2026),2026-01-06,before 6:29,,no
RFI - EP - 200BB,EP,open,,,Q4s,raise,0,,0,,0,100,Live Poker Preflop Guide (2026),2026-01-06,before 6:29,,no
RFI - EP - 200BB,EP,open,,,Q3s,raise,0,,0,,0,100,Live Poker Preflop Guide (2026),2026-01-06,before 6:29,,no
RFI - EP - 200BB,EP,open,,,Q2s,raise,0,,0,,0,100,Live Poker Preflop Guide (2026),2026-01-06,before 6:29,,no
RFI - EP - 200BB,EP,open,,,AJo,raise,0,,0,,0,100,Live Poker Preflop Guide (2026),2026-01-06,before 6:29,,no
RFI - EP - 200BB,EP,open,,,KJo,raise,0,,0,,0,100,Live Poker Preflop Guide (2026),2026-01-06,before 6:29,,no
RFI - EP - 200BB,EP,open,,,QJo,raise,0,,0,,0,100,Live Poker Preflop Guide (2026),2026-01-06,before 6:29,,no
RFI - EP - 200BB,EP,open,,,JJ,raise,100,,0,,0,0,Live Poker Preflop Guide (2026),2026-01-06,before 6:29,,no
RFI - EP - 200BB,EP,open,,,JTs,raise,100,,0,,0,0,Live Poker Preflop Guide (2026),2026-01-06,before 6:29,,no
RFI - EP - 200BB,EP,open,,,J9s,raise,100,,0,,0,0,Live Poker Preflop Guide (2026),2026-01-06,before 6:29,,no
RFI - EP - 200BB,EP,open,,,J8s,raise,0,,0,,0,100,Live Poker Preflop Guide (2026),2026-01-06,before 6:29,,no
RFI - EP - 200BB,EP,open,,,J7s,raise,0,,0,,0,100,Live Poker Preflop Guide (2026),2026-01-06,before 6:29,,no
RFI - EP - 200BB,EP,open,,,J6s,raise,0,,0,,0,100,Live Poker Preflop Guide (2026),2026-01-06,before 6:29,,no
RFI - EP - 200BB,EP,open,,,J5s,raise,0,,0,,0,100,Live Poker Preflop Guide (2026),2026-01-06,before 6:29,,no
RFI - EP - 200BB,EP,open,,,J4s,raise,0,,0,,0,100,Live Poker Preflop Guide (2026),2026-01-06,before 6:29,,no
RFI - EP - 200BB,EP,open,,,J3s,raise,0,,0,,0,100,Live Poker Preflop Guide (2026),2026-01-06,before 6:29,,no
RFI - EP - 200BB,EP,open,,,J2s,raise,0,,0,,0,100,Live Poker Preflop Guide (2026),2026-01-06,before 6:29,,no
RFI - EP - 200BB,EP,open,,,ATo,raise,0,,0,,0,100,Live Poker Preflop Guide (2026),2026-01-06,before 6:29,,no
RFI - EP - 200BB,EP,open,,,KTo,raise,0,,0,,0,100,Live Poker Preflop Guide (2026),2026-01-06,before 6:29,,no
RFI - EP - 200BB,EP,open,,,QTo,raise,0,,0,,0,100,Live Poker Preflop Guide (2026),2026-01-06,before 6:29,,no
RFI - EP - 200BB,EP,open,,,JTo,raise,0,,0,,0,100,Live Poker Preflop Guide (2026),2026-01-06,before 6:29,,no
RFI - EP - 200BB,EP,open,,,TT,raise,100,,0,,0,0,Live Poker Preflop Guide (2026),2026-01-06,before 6:29,,no
RFI - EP - 200BB,EP,open,,,T9s,raise,100,,0,,0,0,Live Poker Preflop Guide (2026),2026-01-06,before 6:29,,no
RFI - EP - 200BB,EP,open,,,T8s,raise,0,,0,,0,100,Live Poker Preflop Guide (2026),2026-01-06,before 6:29,,no
RFI - EP - 200BB,EP,open,,,T7s,raise,0,,0,,0,100,Live Poker Preflop Guide (2026),2026-01-06,before 6:29,,no
RFI - EP - 200BB,EP,open,,,T6s,raise,0,,0,,0,100,Live Poker Preflop Guide (2026),2026-01-06,before 6:29,,no
RFI - EP - 200BB,EP,open,,,T5s,raise,0,,0,,0,100,Live Poker Preflop Guide (2026),2026-01-06,before 6:29,,no
RFI - EP - 200BB,EP,open,,,T4s,raise,0,,0,,0,100,Live Poker Preflop Guide (2026),2026-01-06,before 6:29,,no
RFI - EP - 200BB,EP,open,,,T3s,raise,0,,0,,0,100,Live Poker Preflop Guide (2026),2026-01-06,before 6:29,,no
RFI - EP - 200BB,EP,open,,,T2s,raise,0,,0,,0,100,Live Poker Preflop Guide (2026),2026-01-06,before 6:29,,no
RFI - EP - 200BB,EP,open,,,A9o,raise,0,,0,,0,100,Live Poker Preflop Guide (2026),2026-01-06,before 6:29,,no
RFI - EP - 200BB,EP,open,,,K9o,raise,0,,0,,0,100,Live Poker Preflop Guide (2026),2026-01-06,before 6:29,,no
RFI - EP - 200BB,EP,open,,,Q9o,raise,0,,0,,0,100,Live Poker Preflop Guide (2026),2026-01-06,before 6:29,,no
RFI - EP - 200BB,EP,open,,,J9o,raise,0,,0,,0,100,Live Poker Preflop Guide (2026),2026-01-06,before 6:29,,no
RFI - EP - 200BB,EP,open,,,T9o,raise,0,,0,,0,100,Live Poker Preflop Guide (2026),2026-01-06,before 6:29,,no
RFI - EP - 200BB,EP,open,,,99,raise,100,,0,,0,0,Live Poker Preflop Guide (2026),2026-01-06,before 6:29,,no
RFI - EP - 200BB,EP,open,,,98s,raise,100,,0,,0,0,Live Poker Preflop Guide (2026),2026-01-06,before 6:29,,no
RFI - EP - 200BB,EP,open,,,97s,raise,0,,0,,0,100,Live Poker Preflop Guide (2026),2026-01-06,before 6:29,,no
RFI - EP - 200BB,EP,open,,,96s,raise,0,,0,,0,100,Live Poker Preflop Guide (2026),2026-01-06,before 6:29,,no
RFI - EP - 200BB,EP,open,,,95s,raise,0,,0,,0,100,Live Poker Preflop Guide (2026),2026-01-06,before 6:29,,no
RFI - EP - 200BB,EP,open,,,94s,raise,0,,0,,0,100,Live Poker Preflop Guide (2026),2026-01-06,before 6:29,,no
RFI - EP - 200BB,EP,open,,,93s,raise,0,,0,,0,100,Live Poker Preflop Guide (2026),2026-01-06,before 6:29,,no
RFI - EP - 200BB,EP,open,,,92s,raise,0,,0,,0,100,Live Poker Preflop Guide (2026),2026-01-06,before 6:29,,no
RFI - EP - 200BB,EP,open,,,A8o,raise,0,,0,,0,100,Live Poker Preflop Guide (2026),2026-01-06,before 6:29,,no
RFI - EP - 200BB,EP,open,,,K8o,raise,0,,0,,0,100,Live Poker Preflop Guide (2026),2026-01-06,before 6:29,,no
RFI - EP - 200BB,EP,open,,,Q8o,raise,0,,0,,0,100,Live Poker Preflop Guide (2026),2026-01-06,before 6:29,,no
RFI - EP - 200BB,EP,open,,,J8o,raise,0,,0,,0,100,Live Poker Preflop Guide (2026),2026-01-06,before 6:29,,no
RFI - EP - 200BB,EP,open,,,T8o,raise,0,,0,,0,100,Live Poker Preflop Guide (2026),2026-01-06,before 6:29,,no
RFI - EP - 200BB,EP,open,,,98o,raise,0,,0,,0,100,Live Poker Preflop Guide (2026),2026-01-06,before 6:29,,no
RFI - EP - 200BB,EP,open,,,88,raise,100,,0,,0,0,Live Poker Preflop Guide (2026),2026-01-06,before 6:29,,no
RFI - EP - 200BB,EP,open,,,87s,raise,100,,0,,0,0,Live Poker Preflop Guide (2026),2026-01-06,before 6:29,,no
RFI - EP - 200BB,EP,open,,,86s,raise,0,,0,,0,100,Live Poker Preflop Guide (2026),2026-01-06,before 6:29,,no
RFI - EP - 200BB,EP,open,,,85s,raise,0,,0,,0,100,Live Poker Preflop Guide (2026),2026-01-06,before 6:29,,no
RFI - EP - 200BB,EP,open,,,84s,raise,0,,0,,0,100,Live Poker Preflop Guide (2026),2026-01-06,before 6:29,,no
RFI - EP - 200BB,EP,open,,,83s,raise,0,,0,,0,100,Live Poker Preflop Guide (2026),2026-01-06,before 6:29,,no
RFI - EP - 200BB,EP,open,,,82s,raise,0,,0,,0,100,Live Poker Preflop Guide (2026),2026-01-06,before 6:29,,no
RFI - EP - 200BB,EP,open,,,A7o,raise,0,,0,,0,100,Live Poker Preflop Guide (2026),2026-01-06,before 6:29,,no
RFI - EP - 200BB,EP,open,,,K7o,raise,0,,0,,0,100,Live Poker Preflop Guide (2026),2026-01-06,before 6:29,,no
RFI - EP - 200BB,EP,open,,,Q7o,raise,0,,0,,0,100,Live Poker Preflop Guide (2026),2026-01-06,before 6:29,,no
RFI - EP - 200BB,EP,open,,,J7o,raise,0,,0,,0,100,Live Poker Preflop Guide (2026),2026-01-06,before 6:29,,no
RFI - EP - 200BB,EP,open,,,T7o,raise,0,,0,,0,100,Live Poker Preflop Guide (2026),2026-01-06,before 6:29,,no
RFI - EP - 200BB,EP,open,,,97o,raise,0,,0,,0,100,Live Poker Preflop Guide (2026),2026-01-06,before 6:29,,no
RFI - EP - 200BB,EP,open,,,87o,raise,0,,0,,0,100,Live Poker Preflop Guide (2026),2026-01-06,before 6:29,,no
RFI - EP - 200BB,EP,open,,,77,raise,100,,0,,0,0,Live Poker Preflop Guide (2026),2026-01-06,before 6:29,,no
RFI - EP - 200BB,EP,open,,,76s,raise,100,,0,,0,0,Live Poker Preflop Guide (2026),2026-01-06,before 6:29,,no
RFI - EP - 200BB,EP,open,,,75s,raise,0,,0,,0,100,Live Poker Preflop Guide (2026),2026-01-06,before 6:29,,no
RFI - EP - 200BB,EP,open,,,74s,raise,0,,0,,0,100,Live Poker Preflop Guide (2026),2026-01-06,before 6:29,,no
RFI - EP - 200BB,EP,open,,,73s,raise,0,,0,,0,100,Live Poker Preflop Guide (2026),2026-01-06,before 6:29,,no
RFI - EP - 200BB,EP,open,,,72s,raise,0,,0,,0,100,Live Poker Preflop Guide (2026),2026-01-06,before 6:29,,no
RFI - EP - 200BB,EP,open,,,A6o,raise,0,,0,,0,100,Live Poker Preflop Guide (2026),2026-01-06,before 6:29,,no
RFI - EP - 200BB,EP,open,,,K6o,raise,0,,0,,0,100,Live Poker Preflop Guide (2026),2026-01-06,before 6:29,,no
RFI - EP - 200BB,EP,open,,,Q6o,raise,0,,0,,0,100,Live Poker Preflop Guide (2026),2026-01-06,before 6:29,,no
RFI - EP - 200BB,EP,open,,,J6o,raise,0,,0,,0,100,Live Poker Preflop Guide (2026),2026-01-06,before 6:29,,no
RFI - EP - 200BB,EP,open,,,T6o,raise,0,,0,,0,100,Live Poker Preflop Guide (2026),2026-01-06,before 6:29,,no
RFI - EP - 200BB,EP,open,,,96o,raise,0,,0,,0,100,Live Poker Preflop Guide (2026),2026-01-06,before 6:29,,no
RFI - EP - 200BB,EP,open,,,86o,raise,0,,0,,0,100,Live Poker Preflop Guide (2026),2026-01-06,before 6:29,,no
RFI - EP - 200BB,EP,open,,,76o,raise,0,,0,,0,100,Live Poker Preflop Guide (2026),2026-01-06,before 6:29,,no
RFI - EP - 200BB,EP,open,,,66,raise,100,,0,,0,0,Live Poker Preflop Guide (2026),2026-01-06,before 6:29,,no
RFI - EP - 200BB,EP,open,,,65s,raise,100,,0,,0,0,Live Poker Preflop Guide (2026),2026-01-06,before 6:29,,no
RFI - EP - 200BB,EP,open,,,64s,raise,0,,0,,0,100,Live Poker Preflop Guide (2026),2026-01-06,before 6:29,,no
RFI - EP - 200BB,EP,open,,,63s,raise,0,,0,,0,100,Live Poker Preflop Guide (2026),2026-01-06,before 6:29,,no
RFI - EP - 200BB,EP,open,,,62s,raise,0,,0,,0,100,Live Poker Preflop Guide (2026),2026-01-06,before 6:29,,no
RFI - EP - 200BB,EP,open,,,A5o,raise,0,,0,,0,100,Live Poker Preflop Guide (2026),2026-01-06,before 6:29,,no
RFI - EP - 200BB,EP,open,,,K5o,raise,0,,0,,0,100,Live Poker Preflop Guide (2026),2026-01-06,before 6:29,,no
RFI - EP - 200BB,EP,open,,,Q5o,raise,0,,0,,0,100,Live Poker Preflop Guide (2026),2026-01-06,before 6:29,,no
RFI - EP - 200BB,EP,open,,,J5o,raise,0,,0,,0,100,Live Poker Preflop Guide (2026),2026-01-06,before 6:29,,no
RFI - EP - 200BB,EP,open,,,T5o,raise,0,,0,,0,100,Live Poker Preflop Guide (2026),2026-01-06,before 6:29,,no
RFI - EP - 200BB,EP,open,,,95o,raise,0,,0,,0,100,Live Poker Preflop Guide (2026),2026-01-06,before 6:29,,no
RFI - EP - 200BB,EP,open,,,85o,raise,0,,0,,0,100,Live Poker Preflop Guide (2026),2026-01-06,before 6:29,,no
RFI - EP - 200BB,EP,open,,,75o,raise,0,,0,,0,100,Live Poker Preflop Guide (2026),2026-01-06,before 6:29,,no
RFI - EP - 200BB,EP,open,,,65o,raise,0,,0,,0,100,Live Poker Preflop Guide (2026),2026-01-06,before 6:29,,no
RFI - EP - 200BB,EP,open,,,55,raise,0,,0,,0,100,Live Poker Preflop Guide (2026),2026-01-06,before 6:29,,no
RFI - EP - 200BB,EP,open,,,54s,raise,0,,0,,0,100,Live Poker Preflop Guide (2026),2026-01-06,before 6:29,,no
RFI - EP - 200BB,EP,open,,,53s,raise,0,,0,,0,100,Live Poker Preflop Guide (2026),2026-01-06,before 6:29,,no
RFI - EP - 200BB,EP,open,,,52s,raise,0,,0,,0,100,Live Poker Preflop Guide (2026),2026-01-06,before 6:29,,no
RFI - EP - 200BB,EP,open,,,A4o,raise,0,,0,,0,100,Live Poker Preflop Guide (2026),2026-01-06,before 6:29,,no
RFI - EP - 200BB,EP,open,,,K4o,raise,0,,0,,0,100,Live Poker Preflop Guide (2026),2026-01-06,before 6:29,,no
RFI - EP - 200BB,EP,open,,,Q4o,raise,0,,0,,0,100,Live Poker Preflop Guide (2026),2026-01-06,before 6:29,,no
RFI - EP - 200BB,EP,open,,,J4o,raise,0,,0,,0,100,Live Poker Preflop Guide (2026),2026-01-06,before 6:29,,no
RFI - EP - 200BB,EP,open,,,T4o,raise,0,,0,,0,100,Live Poker Preflop Guide (2026),2026-01-06,before 6:29,,no
RFI - EP - 200BB,EP,open,,,94o,raise,0,,0,,0,100,Live Poker Preflop Guide (2026),2026-01-06,before 6:29,,no
RFI - EP - 200BB,EP,open,,,84o,raise,0,,0,,0,100,Live Poker Preflop Guide (2026),2026-01-06,before 6:29,,no
RFI - EP - 200BB,EP,open,,,74o,raise,0,,0,,0,100,Live Poker Preflop Guide (2026),2026-01-06,before 6:29,,no
RFI - EP - 200BB,EP,open,,,64o,raise,0,,0,,0,100,Live Poker Preflop Guide (2026),2026-01-06,before 6:29,,no
RFI - EP - 200BB,EP,open,,,54o,raise,0,,0,,0,100,Live Poker Preflop Guide (2026),2026-01-06,before 6:29,,no
RFI - EP - 200BB,EP,open,,,44,raise,0,,0,,0,100,Live Poker Preflop Guide (2026),2026-01-06,before 6:29,,no
RFI - EP - 200BB,EP,open,,,43s,raise,0,,0,,0,100,Live Poker Preflop Guide (2026),2026-01-06,before 6:29,,no
RFI - EP - 200BB,EP,open,,,42s,raise,0,,0,,0,100,Live Poker Preflop Guide (2026),2026-01-06,before 6:29,,no
RFI - EP - 200BB,EP,open,,,A3o,raise,0,,0,,0,100,Live Poker Preflop Guide (2026),2026-01-06,before 6:29,,no
RFI - EP - 200BB,EP,open,,,K3o,raise,0,,0,,0,100,Live Poker Preflop Guide (2026),2026-01-06,before 6:29,,no
RFI - EP - 200BB,EP,open,,,Q3o,raise,0,,0,,0,100,Live Poker Preflop Guide (2026),2026-01-06,before 6:29,,no
RFI - EP - 200BB,EP,open,,,J3o,raise,0,,0,,0,100,Live Poker Preflop Guide (2026),2026-01-06,before 6:29,,no
RFI - EP - 200BB,EP,open,,,T3o,raise,0,,0,,0,100,Live Poker Preflop Guide (2026),2026-01-06,before 6:29,,no
RFI - EP - 200BB,EP,open,,,93o,raise,0,,0,,0,100,Live Poker Preflop Guide (2026),2026-01-06,before 6:29,,no
RFI - EP - 200BB,EP,open,,,83o,raise,0,,0,,0,100,Live Poker Preflop Guide (2026),2026-01-06,before 6:29,,no
RFI - EP - 200BB,EP,open,,,73o,raise,0,,0,,0,100,Live Poker Preflop Guide (2026),2026-01-06,before 6:29,,no
RFI - EP - 200BB,EP,open,,,63o,raise,0,,0,,0,100,Live Poker Preflop Guide (2026),2026-01-06,before 6:29,,no
RFI - EP - 200BB,EP,open,,,53o,raise,0,,0,,0,100,Live Poker Preflop Guide (2026),2026-01-06,before 6:29,,no
RFI - EP - 200BB,EP,open,,,43o,raise,0,,0,,0,100,Live Poker Preflop Guide (2026),2026-01-06,before 6:29,,no
RFI - EP - 200BB,EP,open,,,33,raise,0,,0,,0,100,Live Poker Preflop Guide (2026),2026-01-06,before 6:29,,no
RFI - EP - 200BB,EP,open,,,32s,raise,0,,0,,0,100,Live Poker Preflop Guide (2026),2026-01-06,before 6:29,,no
RFI - EP - 200BB,EP,open,,,A2o,raise,0,,0,,0,100,Live Poker Preflop Guide (2026),2026-01-06,before 6:29,,no
RFI - EP - 200BB,EP,open,,,K2o,raise,0,,0,,0,100,Live Poker Preflop Guide (2026),2026-01-06,before 6:29,,no
RFI - EP - 200BB,EP,open,,,Q2o,raise,0,,0,,0,100,Live Poker Preflop Guide (2026),2026-01-06,before 6:29,,no
RFI - EP - 200BB,EP,open,,,J2o,raise,0,,0,,0,100,Live Poker Preflop Guide (2026),2026-01-06,before 6:29,,no
RFI - EP - 200BB,EP,open,,,T2o,raise,0,,0,,0,100,Live Poker Preflop Guide (2026),2026-01-06,before 6:29,,no
RFI - EP - 200BB,EP,open,,,92o,raise,0,,0,,0,100,Live Poker Preflop Guide (2026),2026-01-06,before 6:29,,no
RFI - EP - 200BB,EP,open,,,82o,raise,0,,0,,0,100,Live Poker Preflop Guide (2026),2026-01-06,before 6:29,,no
RFI - EP - 200BB,EP,open,,,72o,raise,0,,0,,0,100,Live Poker Preflop Guide (2026),2026-01-06,before 6:29,,no
RFI - EP - 200BB,EP,open,,,62o,raise,0,,0,,0,100,Live Poker Preflop Guide (2026),2026-01-06,before 6:29,,no
RFI - EP - 200BB,EP,open,,,52o,raise,0,,0,,0,100,Live Poker Preflop Guide (2026),2026-01-06,before 6:29,,no
RFI - EP - 200BB,EP,open,,,42o,raise,0,,0,,0,100,Live Poker Preflop Guide (2026),2026-01-06,before 6:29,,no
RFI - EP - 200BB,EP,open,,,32o,raise,0,,0,,0,100,Live Poker Preflop Guide (2026),2026-01-06,before 6:29,,no
RFI - EP - 200BB,EP,open,,,22,raise,0,,0,,0,100,Live Poker Preflop Guide (2026),2026-01-06,before 6:29,,no
RFI - HJ - 200BB,HJ,open,,,AA,raise,100,,0,,0,0,Live Poker Preflop Guide (2026),2026-01-06,6:29,,no
RFI - HJ - 200BB,HJ,open,,,AKs,raise,100,,0,,0,0,Live Poker Preflop Guide (2026),2026-01-06,6:29,,no
RFI - HJ - 200BB,HJ,open,,,AQs,raise,100,,0,,0,0,Live Poker Preflop Guide (2026),2026-01-06,6:29,,no
RFI - HJ - 200BB,HJ,open,,,AJs,raise,100,,0,,0,0,Live Poker Preflop Guide (2026),2026-01-06,6:29,,no
RFI - HJ - 200BB,HJ,open,,,ATs,raise,100,,0,,0,0,Live Poker Preflop Guide (2026),2026-01-06,6:29,,no
RFI - HJ - 200BB,HJ,open,,,A9s,raise,100,,0,,0,0,Live Poker Preflop Guide (2026),2026-01-06,6:29,,no
RFI - HJ - 200BB,HJ,open,,,A8s,raise,100,,0,,0,0,Live Poker Preflop Guide (2026),2026-01-06,6:29,,no
RFI - HJ - 200BB,HJ,open,,,A7s,raise,100,,0,,0,0,Live Poker Preflop Guide (2026),2026-01-06,6:29,,no
RFI - HJ - 200BB,HJ,open,,,A6s,raise,100,,0,,0,0,Live Poker Preflop Guide (2026),2026-01-06,6:29,,no
RFI - HJ - 200BB,HJ,open,,,A5s,raise,100,,0,,0,0,Live Poker Preflop Guide (2026),2026-01-06,6:29,,no
RFI - HJ - 200BB,HJ,open,,,A4s,raise,100,,0,,0,0,Live Poker Preflop Guide (2026),2026-01-06,6:29,,no
RFI - HJ - 200BB,HJ,open,,,A3s,raise,100,,0,,0,0,Live Poker Preflop Guide (2026),2026-01-06,6:29,,no
RFI - HJ - 200BB,HJ,open,,,A2s,raise,100,,0,,0,0,Live Poker Preflop Guide (2026),2026-01-06,6:29,,no
RFI - HJ - 200BB,HJ,open,,,AKo,raise,100,,0,,0,0,Live Poker Preflop Guide (2026),2026-01-06,6:29,,no
RFI - HJ - 200BB,HJ,open,,,KK,raise,100,,0,,0,0,Live Poker Preflop Guide (2026),2026-01-06,6:29,,no
RFI - HJ - 200BB,HJ,open,,,KQs,raise,100,,0,,0,0,Live Poker Preflop Guide (2026),2026-01-06,6:29,,no
RFI - HJ - 200BB,HJ,open,,,KJs,raise,100,,0,,0,0,Live Poker Preflop Guide (2026),2026-01-06,6:29,,no
RFI - HJ - 200BB,HJ,open,,,KTs,raise,100,,0,,0,0,Live Poker Preflop Guide (2026),2026-01-06,6:29,,no
RFI - HJ - 200BB,HJ,open,,,K9s,raise,100,,0,,0,0,Live Poker Preflop Guide (2026),2026-01-06,6:29,,no
RFI - HJ - 200BB,HJ,open,,,K8s,raise,100,,0,,0,0,Live Poker Preflop Guide (2026),2026-01-06,6:29,,no
RFI - HJ - 200BB,HJ,open,,,K7s,raise,100,,0,,0,0,Live Poker Preflop Guide (2026),2026-01-06,6:29,,no
RFI - HJ - 200BB,HJ,open,,,K6s,raise,0,,0,,0,100,Live Poker Preflop Guide (2026),2026-01-06,6:29,,no
RFI - HJ - 200BB,HJ,open,,,K5s,raise,0,,0,,0,100,Live Poker Preflop Guide (2026),2026-01-06,6:29,,no
RFI - HJ - 200BB,HJ,open,,,K4s,raise,0,,0,,0,100,Live Poker Preflop Guide (2026),2026-01-06,6:29,,no
